"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
0,1,2,60602,16,11.0120831748131,2.77258872223978
1,1,1,392500,12,12.8802918162046,2.484906649788
0,1,2,947500,16,13.7615822159387,2.77258872223978
0,1,1,558000,12,13.2321142413634,2.484906649788
0,1,2,163000,18,12.0015054797889,2.89037175789616
1,1,2,1003,10,6.91075078796194,2.30258509299405
1,1,1,1668000,16,14.3271358619008,2.77258872223978
1,1,2,1395000,18,14.1484049732376,2.89037175789616
1,1,1,2097000,19,14.5560183098841,2.94443897916644
0,1,2,2895648,16,14.878719478139,2.77258872223978
0,1,1,816277,16,13.6125090371268,2.77258872223978
0,1,1,1302000,18,14.0794121017507,2.89037175789616
0,1,1,798000,18,13.5898638764319,2.89037175789616
0,1,2,34500,12,10.4487146030195,2.484906649788
0,1,1,1861000,18,14.4366245356244,2.89037175789616
0,1,2,592225,12,13.2916419092263,2.484906649788
0,1,1,1191750,16,13.9909333730671,2.77258872223978
1,1,1,1605000,16,14.2886343145463,2.77258872223978
0,1,2,859000,16,13.6635242009664,2.77258872223978
0,1,1,723000,12,13.4911645011409,2.484906649788
0,1,1,1779200,16,14.3916743830384,2.77258872223978
0,1,1,1034823,16,13.8497409555642,2.77258872223978
0,1,2,16449398,20,16.6157994387613,2.99573227355399
0,1,2,1752000,20,14.3762685504785,2.99573227355399
0,0,2,11800,12,9.37585481045376,2.484906649788
0,0,1,127500,12,11.7558716435806,2.484906649788
0,0,2,22420,12,10.0177086966262,2.484906649788
0,1,2,21000,12,9.95227771670556,2.484906649788
1,1,1,766000,15,13.5489374487227,2.70805020110221
1,1,2,326000,12,12.6946526603488,2.484906649788
0,1,1,22500,12,10.0212705881925,2.484906649788
0,1,1,377000,12,12.8400004664301,2.484906649788
0,1,1,1386000,15,14.141932458732,2.70805020110221
0,1,2,171500,13,12.0523385455881,2.56494935746154
0,1,2,163700,12,12.0057907633592,2.484906649788
0,1,1,915454,12,13.727175396067,2.484906649788
0,1,2,109400,12,11.60276616897,2.484906649788
0,1,2,559000,14,13.2339047521372,2.63905732961526
0,1,1,549000,20,13.2158537204917,2.99573227355399
0,1,1,4000,14,8.29404964010203,2.63905732961526
0,1,2,110500,17,11.6127707999399,2.83321334405622
0,1,2,124700,12,11.7336661316681,2.484906649788
0,1,1,129147,14,11.7687065694505,2.63905732961526
0,1,1,2000,11,7.60090245954208,2.39789527279837
1,1,2,607000,12,13.3162840700416,2.484906649788
0,1,2,1268500,12,14.0533456580215,2.484906649788
0,1,2,82600,14,11.3217649595091,2.63905732961526
0,1,1,225200,12,12.3247441752477,2.484906649788
0,1,1,529000,16,13.1787437108404,2.77258872223978
0,1,2,571500,16,13.256019762217,2.77258872223978
1,1,1,2296627,16,14.6469520827647,2.77258872223978
0,1,1,182100,15,12.1123112657157,2.70805020110221
0,1,1,21500,13,9.97580821411575,2.56494935746154
