"country","year","GDP_USD","NetExports_USD","GDP_Growth_Percent","GDPPerCapita","GDPPerCapitaPPP","NetExports_GDP_Ratio"
"China",2010,6192564874453.29,1654823329662.59,10.5962719761682,4629.24551710077,10476.3123630451,26.7227451502264
"China",2011,7671757207851.29,2006308960971.16,9.4613358870736,5703.76027973346,11405.0172845617,26.1518828948067
"China",2012,8673664713189.24,2175069254660.16,7.85617427055587,6405.0574241349,12217.8543175465,25.0767043295175
"China",2013,9743124247267.24,2354264539607.02,7.77872409446717,7147.03518622344,13080.8288162668,24.163343090563
"China",2014,10674533168257.4,2462825804847.21,7.46190028229434,7781.06597484974,13968.581485524,23.0719766946891
"China",2015,11280814787468.9,2362097053268.77,6.97878002657477,8175.33285077393,14856.7807604461,20.939064223381
"China",2016,11456024084962,2199974853564.98,6.77555562837017,8254.86859320357,15772.7647598696,19.2036507364961
"China",2017,12537559062282.9,2424216052103.13,6.8912663621211,8979.67652709856,16757.9736318662,19.3356301658109
"China",2018,14147765772963.8,2655609176082.54,6.75671800166833,10085.6638148819,17806.7902349725,18.7705198029033
"China",2019,14560167101283.4,2628941104664.36,6.06850235053705,10342.9009524335,18820.5131033646,18.055706959796
"China",2020,14996414166715.1,2729884575161.69,2.34018843078414,10627.4637989619,19215.1541703465,18.2035821684675
"China",2021,18201698719564,3554107780955.9,8.57008513166322,12887.4357242941,20843.2978347377,19.5262422245006
"China",2022,18316765021690.2,3717887818650.36,3.1341888719577,12970.6056414327,21499.3822834427,20.297731691419
"China",2023,18270356654533.2,3490089712359.72,5.41484330099675,12951.1782397043,22687.0758723942,19.1024717160832
"United States",1970,1.073303e+12,5.9709e+10,0.184619362250075,5234.2966662115,NA,5.56310752881526
"United States",1971,1.16485e+12,6.2963e+10,3.29272245024868,5609.38259952519,NA,5.40524531055501
"United States",1972,1.27911e+12,7.0843e+10,5.25550196715072,6094.01798986165,NA,5.53846033570217
"United States",1973,1.425376e+12,9.5269e+10,5.64567975906083,6726.35895596695,NA,6.6837802797297
"United States",1974,1.545243e+12,1.2665e+11,-0.540550189302294,7225.69135952566,NA,8.19612190445127
"United States",1975,1.684904e+12,1.38706e+11,-0.205619193188355,7801.45666356443,NA,8.23227910907684
"United States",1976,1.873412e+12,1.49515e+11,5.38803390599543,8592.25353727612,NA,7.9808926173207
"United States",1977,2.081826e+12,1.59349e+11,4.62418650861058,9452.57651914511,NA,7.6542900319239
"United States",1978,2.351599e+12,1.86883e+11,5.53520647919645,10564.9482220275,NA,7.947060702101
"United States",1979,2.627333e+12,2.30129e+11,3.16598822778928,11674.1818666548,NA,8.75903435156488
"United States",1980,2.857307e+12,2.80772e+11,-0.256775736225364,12574.7915062163,NA,9.82645547013324
